Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend
2022-01-27,349.4,351.27,340.05,341.1,95235624.0,32879792000.0,341.1,0.0
2022-01-28,343.03,352.02,337.95,351.8,108167896.0,37325455000.0,351.8,0.0
2022-01-31,353.2,363.65,351.52,363.05,94326390.0,33789047000.0,363.05,0.0
2022-02-01,364.43,366.19,359.14,365.52,74433020.0,27023219000.0,365.52,0.0
2022-02-02,369.76,370.1,364.285,368.49,78777140.0,28927140000.0,368.49,0.0
2022-02-03,358.53,361.93,352.46,353.55,95384770.0,34194921000.0,353.55,0.0
2022-02-04,354.08,361.4,351.97,358.01,86318300.0,30769906000.0,358.01,0.0
2022-02-07,358.62,361.05,353.84,355.13,58198090.0,20807752000.0,355.13,0.0
2022-02-08,353.96,360.24,352.8,359.12,64720896.0,23095770000.0,359.12,0.0
2022-02-09,363.76,366.81,362.12,366.73,55764370.0,20322621000.0,366.73,0.0
2022-02-10,359.52,366.4885,356.54,358.43,112468480.0,40713724000.0,358.43,0.0
2022-02-11,358.43,360.07,345.8,347.06,101569100.0,35813257000.0,347.06,0.0
2022-02-14,346.49,350.98,343.89,347.49,80254340.0,27895095000.0,347.49,0.0
2022-02-15,352.91,356.37,351.82,356.13,55390804.0,19612756000.0,356.13,0.0
2022-02-16,353.82,357.0896,350.71,356.04,58947090.0,20840755000.0,356.04,0.0
2022-02-17,352.74,353.46,345.02,345.45,61801350.0,21581216000.0,345.45,0.0
2022-02-18,346.41,346.81,339.14,341.51,80001510.0,27423918000.0,341.51,0.0
2022-02-22,338.49,344.04,334.35,338.08,85967096.0,29153884000.0,338.08,0.0
2022-02-23,341.32,342.183,329.1,329.42,86213950.0,28848003000.0,329.42,0.0
2022-02-24,318.84,341.04,318.26,340.49,130614056.0,43083210000.0,340.49,0.0
2022-02-25,341.31,345.98,337.39,345.77,78842090.0,27028138000.0,345.77,0.0
2022-02-28,342.51,348.54,341.32,346.8,77515544.0,26708292000.0,346.8,0.0
2022-03-01,345.75,348.078,338.9,341.49,67407000.0,23168831000.0,341.49,0.0
2022-03-02,343.08,348.59,340.24,347.22,70609016.0,24347535000.0,347.22,0.0
2022-03-03,349.93,350.04,340.35,342.26,71089384.0,24485452000.0,342.26,0.0
2022-03-04,339.84,341.31,334.92,337.3,77009760.0,26000280000.0,337.3,0.0
2022-03-07,337.29,338.48,324.65,324.86,89933790.0,29711591000.0,324.86,0.0
2022-03-08,324.05,333.21,319.94,323.35,116153920.0,37799735000.0,323.35,0.0
2022-03-09,331.75,336.38,329.09,334.99,64723370.0,21544520000.0,334.99,0.0
2022-03-10,330.82,332.51,326.71,331.27,69362710.0,22892024000.0,331.27,0.0
2022-03-11,334.32,334.64,323.9,324.4,66228430.0,21778627000.0,324.4,0.0
2022-03-14,323.13,326.59,317.45,318.17,79802610.0,25629145000.0,318.17,0.0
2022-03-15,320.88,328.95,319.23,328.15,76470990.0,24784515000.0,328.15,0.0
2022-03-16,332.17,340.44,328.401,340.32,105242950.0,35214324000.0,340.32,0.0
